Species,FertileFronds,Frond,Habitat,Indusia,Laminae,Rachis,Rhizome,Sori,Sporangia,Spores,SterileFronds,Stipe,Family,Biostatus
Anemia phyllitidis (L.),100mm-long,380mm-long,"Reported as growing on a steep, south-facing bank near a site previously occupied by the now-dead parent plant.",,170mm-long; 130mm-wide,,,,,,70mm-long; 15mm-wide,210mm-long,Anemiaceae,"['exotic', 'casual']"
Athyrium filix-femina (L.),,260-950mm-long,"Athyrium filix-femina occurs most frequently on stream and river banks, either under shade or in the open, but also occurs in swampy peat. It is particularly well established along the banks of the Avon River and in the Travis Wetland in Christchurch, but is also found in Riccarton Bush.",0.7-1mm-long,210-690mm-long; 90-400mm-wide,8mm-long; 1.5mm-wide,,,,,,45-310mm-long,Athyriaceae,['exotic']
Athyrium otophorum (Miq.),,550mm-long,Recorded as sporadically self-sown along the edges of paths and among ferns in a cultivated area at Kerikeri. Self-sown sporelings have also been recorded in a shade-house at Helensville.,2mm-long,350mm-long; 350mm-wide,,,,,,,220mm-long,Athyriaceae,"['exotic', 'casual']"
Deparia petersenii subsp. congrua (Brack.),,180-910mm-long,"Deparia petersenii subsp. congrua is a terrestrial fern that grows in damp soils along stream banks, near hot streams, on alluvial terraces, lakesides, swamp margins, and bush margins, and on tracksides and road banks. It grows in kauri, podocarp (especially kahikatea), and broadleaved forest, and under mānuka and kānuka, as well as under introduced Salix and Pinus species. 8Recognition: In New Zealand Deparia petersenii subsp. congrua is recognised by its creeping rhizomes, and fronds, that bear both scales and hairs, the latter being more abundant distally and adaxially. The primary pinnae are divided almost to the costae into secondary pinnae, which are sometimes themselves divided more than halfway to the midrib. Neither the secondary or tertiary segments are ever completely divided to the costae. The sori are elongated along the veins and sometimes arranged back-to-back. Subsp. congrua is distinguished from subsp. petersenii by its thinner and less brittle laminae, lacking blue-green iridescence on the adaxial surface, and its primary pinnae, which are more highly divided to within c. 1 mm of the costa. Cytology: n = 82 (Brownlie 1961). Notes: This species has been widely misidentified in earlier New Zealand literature as Diplazium japonicum (Thunb.) Beddome or Athyrium japonicum (Thunb.) Copel. based on Asplenium japonicum Thunb. Kato (1984) recognised three subspecies within D. petersenii . Subsp. congrua was distinguished from subsp. petersenii by its lamina and pinnae, which narrowed gradually to an acuminate apex rather than narrowing abruptly; and from subsp. deflexa by its thicker rhizome (up to 5 mm diameter cf. up to 2.5 mm diameter), more widely spaced stipes, and oblique rather than patent pinna segments. Subsp. congrua is present in Australia, New Zealand, and the Pacific, whereas subsp. petersenii occurs from the Himalayas to Japan and south to Papua New Guinea, and subsp. deflexa in peninsular Malaysia, Sumatra, and Java. However, following work on Deparia (Kuo et al. 2016), Kuo noted that D. petersenii is not a monophyletic group and there is a lot of polyploidy (Kuo, pers. comm. 2016), suggesting that these taxa may need to be revisited, including the possibility that subsp. deflexa is just a small form of subsp. congrua . In New Zealand, Deparia petersenii subsp. congrua is remarkable in that it was not recorded until found on the Kermadec Islands by Cheeseman (1888) and then at the Ōkura River near Kerikeri by Miss Clarke (Cheeseman 1890). In the first edition of his Manual of the New Zealand Flora , Cheeseman (1906) cited specimens from Kaitāia, the Bay of Islands, and the Wairoa River – all areas that were well covered by many earlier botanists in New Zealand but who apparently failed to find it. Allan (1961) and Crookes (1963) also recorded it only from the Kermadec Islands and the North Island. If Kirk’s Asplenium umbrosum var. tenuifolium is treated as an extreme form of Deparia petersenii subsp. congrua (see below), then his record (Kirk 1891) would be the first for the South Island, more or less contemporaneous with its discovery at the Bay of Islands and on the Kermadec Islands. In the North Island there appears to have been a steady southward movement of this taxon having been recorded from Te Whāiti in 1920 (AK 114934), Rotorua in 1927 (CHR 292805), Taumarunui in 1967 (CHR 165882), Whanganui River in 1967 (WELT P025053), Kapiti Island in 1962 (WELT P023617), Paraparaumu in 1967 (WELT P010589), and Mananui near Hokitika in 1940 (CHR 23790). The biostatus of subsp. congrua in New Zealand is unresolved. It is unclear whether it is a relatively recent natural arrival or was introduced by human intervention. It was first detected at about the same time in three widely different locations, and appears to have spread extensively since that time to the point where it is now well integrated with native vegetation in many areas. Kato (1984) recognised both D. petersenii and D. tenuifolia in New Zealand. He stated that D. tenuifolia differed in “its more deeply cut leaves with pinnatifid and well-spaced pinnules. Larger plants of D. petersenii with lobed pinna-segments approach D. tenuifolia , but in D. tenuifolia even smaller leaves are tripinnatifid with well-spaced pinnules”. In our opinion there is a gradation from 1- pinnate-pinnatifid to 1-pinnate-bipinnatifid forms, with the latter occurring most frequently in shaded habitats rather than in the open. This also reflects the views of de Lange (1988, 1989), who observed plants in the wild and grew highly divided forms in cultivation, noting that they reverted to 1-pinnate- pinnatifid forms within 8 months. In agreement with his suggestion, D. tenuifolia is here reduced to synonymy with D. petersenii . The name Asplenium umbrosum var. leumfolia was published by Dobbie (1931, p. 314) with a one-line description and without any accompanying illustration. Although described as a variety of Asplenium umbrosum (= Diplazium australe ), the description states “root creeping”, which presumably indicates a creeping rhizome. If so, that would exclude Diplazium australe and would relate better to Deparia petersenii . However, no specimens of this taxon are known, and without either a specimen or an illustration it is impossible to know what it represents. 9Fig. 12 : Deparia petersenii subsp. congrua . Mature deeply 1-pinnate-pinnatifid frond.Fig. 13 : Deparia petersenii subsp. congrua . Mature 1-pinnate-bipinnatifid frond, with longest secondary segments near middle of the primary pinnae. Fig. 14 : Deparia petersenii subsp. congrua . Mature 1-pinnate-pinnatifid frond, with longest secondary segments near middle of the primary pinnae.Fig. 15 : Deparia petersenii subsp. congrua . Young plants growing on forest floor. Fig. 16 : Deparia petersenii subsp. congrua . Base of stipe showing narrowly ovate brown scales and multicellular colourless hairs.Fig. 17 : Deparia petersenii subsp. congrua . Adaxial surface of rachis showing U-shaped groove not confluent with grooves of pinna costae. 10Fig. 18 : Deparia petersenii subsp. congrua . Abaxial surface of primary pinnae showing indusia elongated along the veins, with a few arranged back-to-back.Fig. 19 : Deparia petersenii subsp. congrua . Abaxial surface of primary pinnae showing mature sori and indusia elongated along the veins.",1-3mm-long,115-510mm-long; 40-270mm-wide,0.5mm-long; 1.5mm-long,5mm,,,,,5-40mm; 35-480mm,Athyriaceae,"['indigenous', 'non-endemic']"
Deparia petersenii (Kunze),,,Recorded from concrete and brick walls in a garden close to glasshouses.,,5-38mm-long; 2-12mm-wide; 8-11mm-long; 4-5mm-wide,,,,,,,,Athyriaceae,"['exotic', 'casual']"
Diplazium australe (R.Br.),,340-1400mm-long; 80-525mm-long; 40-270mm-wide; 2m-long,"Diplazium australe is a terrestrial fern that grows in damp soils and silt along stream banks, on alluvial terraces and swamp margins, in damp paddocks and ditches, and on forest margins and in clearings. It grows under podocarp (especially kahikatea) and broadleaved forest, under mature mānuka and kānuka, and under Pinus and willows. It is often found in association with Deparia petersenii . Recognition: Diplazium australe is recognised by its erect rhizomes that sometimes form a short trunk, and fronds that are more or less 3-pinnate and are either glabrous or bear a few scales on the stipes and rachises. The sori are elongated along the veins, either singly or with at least a few arranged back-to-back. The free margins of the indusia are entire or only lightly toothed. Cytology: n = 123 (Brownlie 1958). Notes: The names Asplenium umbrosum Sm. and Athyrium umbrosum (Aiton) C.Presl used in earlier New Zealand Floras are misidentifications of Diplazium australe . Fig. 26 : Diplazium australe . Mature 2-pinnate- pinnnatifid frond.Fig. 27 : Diplazium australe . Mature plants growing on forest floor. 14Fig. 28 : Diplazium australe . Juvenile 2-pinnate- pinnatifid frond.Fig. 29 : Diplazium australe . Adaxial surface of rachis showing U-shaped groove confluent with groove of pinna costa. Fig. 30 : Diplazium australe . Base of stipe and young crozier bearing dark brown ovate scales.Fig. 31 : Diplazium australe . Abaxial surface of primary pinna showing immature indusia extending along the veins. Fig. 32 : Diplazium australe . Abaxial surface of secondary pinnae showing mature indusia extending along the veins.Fig. 33 : Diplazium australe . Abaxial surface of primary pinnae showing mature indusia extending along the veins. 1",1-2mm-long,170-780mm-long; 110-740mm-wide; 1200mm-long; 900mm-wide,,,,,,,80-800mm-long,Athyriaceae,"['indigenous', 'non-endemic']"
"Diplazium nipponicum Tagawa, Acta Phytotax. Geobot. 2: 197 (1933)",,430-1000mm-long,"Recorded growing on waste land on a damp clay bank under Salix species. Also known to be cultivated in Auckland and Kerikeri, where it is capable of spreading.",,270-650mm-long; 175-600mm-wide,,,,,,,120-370mm-long; 140-380mm-long; 60-140mm-wide; 75mm-long; 18mm-wide; 8-11mm-long; 4-5mm-wide,Athyriaceae,"['exotic', 'casual']"
Asplenium aethiopicum (Burm.f.),,110-630mm-long,"Established in cracks in mortar and masonry of walls, or drainage gutters, sometimes in the vicinity of cultivated plants.",4-10mm-long,75-350mm-long; 45-160mm-wide,,,,,42.5μm-long; 27.4μm-wide,,35-280mm-long,Aspleniaceae,['exotic']
Asplenium appendiculatum (Labill.),,80-640mm-long; 40-480mm-long; 15-200mm-wide,"A terrestrial fern that occurs under podocarp, broadleaved and beech forest, in mānuka, kānuka, and low scrub, in tussock grassland, under introduced pine plantations and under other exotics in urban environments. On Antipodes Island it grows under tussocks and occasionally as a low epiphyte on Coprosma antipoda . It grows on the forest floor, on fallen trunks, cliffs, banks, streamsides, boulders, in rock crevices, under rock overhangs, and occasionally as a low epiphyte. It is found on greywacke, sandstone, schist, limestone, marble, and ultramafic rock types. Recognition: Asplenium appendiculatum subsp. appendiculatum occurs from about Raglan and Mt Hikurangi southwards but is largely absent from the west coast of the South Island. It is distinguished from the more widespread A. flaccidum subsp. flaccidum by its usually terrestrial habitat, its upright and more divided fronds, its octoploid rather than tetraploid chromosome number, and its larger and more prominently ridged spores. It is morphologically similar to A. richardii , and the two taxa often grow in close proximity. However, A. appendiculatum subsp. appendiculatum has more coriaceous fronds with pinnae that lie in one plane rather than spreading in three dimensions, ultimate segments that are slightly wider (1–1.5 mm, cf. 0.5–1 mm wide), and indusia that are generally longer (2–8 mm, cf. 1.5–4 mm long). Cytology: n = 144 (Brownsey 1977a, as A. terrestre subsp. terrestre ), n = c. 140 (Beuzenberg in Godley 1989, as A. terrestre ). Hybridisation: There is evidence that A. appendiculatum subsp. appendiculatum hybridises with A. flaccidum subsp. flaccidum , A. hookerianum , A. lyallii , A. richardii (Brownsey 1977b), A. gracillimum (Brownsey 1983), A. lepidotum (Perrie & Brownsey 2016) and A. bulbiferum (newly recorded here). Notes: The names Asplenium canterburiense J.B.Armstr., Trans. & Proc. New Zealand Inst . 14: 361 (1882) and Asplenium bulbiferum var. canterburiense (J.B. Armstr.) C.Chr., Index Fil. 104 (1905) have been used in relation to A. appendiculatum subsp. appendiculatum , but the only extant specimen in the Armstrong herbarium (CHR 633317) has aborted spores and is a hybrid of parentage A. appendiculatum subsp. appendiculatum × richardii (Brownsey 1977a). 12Fig. 6 : Asplenium appendiculatum subsp. appendiculatum . Mature plant growing terrestrially.Fig. 7 : Asplenium appendiculatum subsp. appendiculatum . Mature plant growing on a bank. Fig. 8 : Asplenium appendiculatum subsp. appendiculatum . Mature 2-pinnate frond.Fig. 9 : Asplenium appendiculatum subsp. appendiculatum . Mature 2-pinnate frond. Fig. 10 : Asplenium appendiculatum subsp. appendiculatum . Mature 2-pinnate-pinnatifid frond with secondary pinnae gradually decreasing in length along primary pinnae.Fig. 11 : Asplenium appendiculatum subsp. appendiculatum . Submarginal sori and indusia on abaxial surface of lamina. 1",2-8mm-long,12-215mm-long; 4-58mm-wide,,,,,,,15-290mm-long,Aspleniaceae,"['indigenous', 'non-endemic']"
Asplenium appendiculatum subsp. maritimum (Brownsey),,40-670mm-long,"A terrestrial fern that occurs only on coastal cliffs within the influence of salt spray, either on exposed rocks where plants are rather stunted, or in coastal scrub, kānuka scrub, low coastal forest or pine plantations, where they grow much bigger. It favours weathered greywacke rock, but can also be found on sandstone or breccia around Auckland, or on basalt near Christchurch. Recognition: Asplenium appendiculatum subsp. maritimum is distinguished from subsp. appendiculatum by its coastal habitat, thicker and fleshier fronds, secondary pinnae that decrease only slightly along the primary pinnae, and sometimes by its broader laminae. It occupies a similar coastal habitat to A. flaccidum subsp. haurakiense , although the two do not overlap in their distributions; subsp. haurakiense usually has an enlarged basal acroscopic secondary segment, which is markedly larger than the adjacent segment, whereas in A. appendiculatum subsp. maritimum the secondary pinnae decrease gradually in size from the proximal to distal end of each primary pinna. The spores of the two taxa are also markedly different (see Brownsey 1977a; Large & Braggins 1991). Cytology: n = 144 (Brownsey 1977a, as A. terrestre subsp. maritimum ). Hybridisation: There is evidence that A. appendiculatum subsp. maritimum hybridises with A. flaccidum subsp. flaccidum (Brownsey 1977b) and A. gracillimum (newly recorded here). 14Notes: This taxon was first described by Dobbie (1931) as A. flaccidum var. littoralis . However, that name has no precedence when the taxon is recognised at the rank of subspecies as A. appendiculatum subsp. maritimum . The names “litoralis” and “literoralis” in the protologue are orthographic errors to be corrected to “littoralis”. Fig. 13 : Asplenium appendiculatum subsp. maritimum . Mature plant growing at base of coastal rock.Fig. 14 : Asplenium appendiculatum subsp. maritimum . Young plant growing on exposed coastal rock. Fig. 15 : Asplenium appendiculatum subsp. maritimum . Mature plant growing in shaded coastal habitat.Fig. 16 : Asplenium appendiculatum subsp. maritimum . Thick, fleshy, 2-pinnate-pinnatifid frond. Fig. 17 : Asplenium appendiculatum subsp. maritimum . Mature 2-pinnate-pinnatifid frond with secondary pinnae gradually decreasing in length along primary pinnae.Fig. 18 : Asplenium appendiculatum subsp. maritimum . Submarginal sori and indusia on abaxial surface of lamina. 1",2-7mm-long,20-420mm-long; 15-280mm-wide,,,,,,,10-280mm-long,Aspleniaceae,"['indigenous', 'endemic']"
